[100, 147, 30.64, 27.31, [[], [1550.4710836693512, 1555.8592002674334, 1560.2774076301932], [], []]]
[100, 149, 31.76, 27.29, [[], [1550.4711177929669, 1555.8578945943061, 1560.2775458516812], [], []]]
[100, 151, 32.06, 27.29, [[], [1550.4717943041185, 1555.8574957206308, 1560.278840170396], [], []]]
[100, 153, 31.59, 27.29, [[], [1550.4726310447725, 1555.8564074108199, 1560.278893132497], [], []]]
[100, 155, 30.64, 27.26, [[], [1550.4723120742995, 1555.856004803872, 1560.2801720557102], [], []]]
[100, 157, 30.03, 27.23, [[], [1550.472299834677, 1555.8565478366907, 1560.280199476158], [], []]]
[100, 159, 30.59, 27.23, [[], [1550.472056157755, 1555.8570184176685, 1560.2811568848413], [], []]]
[100, 161, 31.5, 27.25, [[], [1550.4724485657823, 1555.8561937827658, 1560.281709777591], [], []]]
[100, 163, 32.08, 27.26, [[], [1550.4728580334581, 1555.8550942703341, 1560.282297222845], [], []]]
[100, 165, 32.18, 27.26, [[], [1550.4731191445169, 1555.8550382498684, 1560.2828121734565], [], []]]
[100, 167, 32.09, 27.26, [[], [1550.4731888733302, 1555.8552664443407, 1560.28267094539], [], []]]
