[75, 171, 30.53, 27.2, [[], [1550.4556349336062, 1555.845398013424, 1560.27298281918], [], []], [[], [1550.4553141929268, 1555.8445098282127, 1560.2950711384822], [], []]]
[75, 174, 30.23, 27.13, [[], [1550.4553943760025, 1555.8449942914335, 1560.2737136607543], [], []], [[], [1550.4537104776675, 1555.8450750409606, 1560.2916603131669], [], []]]
[80, 135, 29.89, 27.2, [[], [1550.4548330750647, 1555.8449135463477, 1560.2735512513934], [], []], [[], [1550.4540312188449, 1555.8443483367846, 1560.2867066756355], [], []]]
[80, 138, 29.87, 27.25, [[], [1550.4543519606027, 1555.8452365245942, 1560.2736324566233], [], []], [[], [1550.4543519606857, 1555.8444290819539, 1560.285569699038], [], []]]
[80, 141, 30.08, 27.25, [[], [1550.4548330751477, 1555.845640245663, 1560.2733888422015], [], []], [[], [1550.453469918985, 1555.84515578261, 1560.2852448678063], [], []]]
[80, 144, 30.52, 27.2, [[], [1550.4541114030822, 1555.845155779425, 1560.273307638155], [], []], [[], [1550.4538708484636, 1555.8446713171263, 1560.2851636711137], [], []]]
[80, 147, 30.96, 27.23, [[], [1550.454672703771, 1555.845317268087, 1560.2735512515624], [], []], [[], [1550.4533095476913, 1555.8450750392008, 1560.2861381358164], [], []]]
[80, 150, 31.28, 27.2, [[], [1550.454512331814, 1555.8455595011642, 1560.27322643301], [], []], [[], [1550.4537104775013, 1555.84515578261, 1560.2854073632166], [], []]]
[80, 153, 31.42, 27.2, [[], [1550.4544321463327, 1555.84523652384, 1560.273307637817], [], []], [[], [1550.454271778025, 1555.8446713173776, 1560.2859757704096], [], []]]
[80, 156, 31.41, 27.2, [[], [1550.4543519604372, 1555.8463669459838, 1560.2731452282028], [], []], [[], [1550.4539510334469, 1555.8463669510122, 1560.2875186665656], [], []]]
[80, 159, 31.23, 27.17, [[], [1550.4555547479597, 1555.8449942910142, 1560.27322643301], [], []], [[], [1550.4541915903876, 1555.846205459668, 1560.292797127045], [], []]]
[80, 162, 30.99, 27.23, [[], [1550.4553141903557, 1555.8462862014007, 1560.2731452287098], [], []], [[], [1550.4545123356288, 1555.8455595042653, 1560.288168386593], [], []]]
